No,PAGENM,PAGENM_EN,PAGENo,ITEMNo,PAGEID,TAGID,TESTPOINTNAME,PROPERTY,SYSTEMID,STATIONID,IOMODULEID,POINTID,GRAPHINDEX
9,1#主发电机组(1),,1,1,3001,401001,1#发电机滑油进滤器温度,,1,7,1,1,
9,1#主发电机组(1),,1,2,3001,401002,1#发电机滑油进机压力,,1,7,1,2,
9,1#主发电机组(1),,1,3,3001,401003,1#发电机滑油压力过低停车,,1,7,1,3,
9,1#主发电机组(1),,1,4,3001,401004,1#发电机滑油进增压器压力,,1,7,1,4,
9,1#主发电机组(1),,1,5,3001,401005,1#发电机滑油进滤器压力,,1,7,1,5,
9,1#主发电机组(1),,1,6,3001,401006,1#发电机预供滑油压力低,,1,7,1,6,
9,1#主发电机组(1),,1,7,3001,401007,1#发电机油底壳滑油液位高,,1,7,1,7,
9,1#主发电机组(1),,1,8,3001,401008,1#发电机油底壳滑油液位低,,1,7,1,8,
9,1#主发电机组(1),,1,9,3001,401009,1#发电机燃油进机压力,,1,7,1,9,
9,1#主发电机组(1),,1,10,3001,401010,1#发电机燃油滤器压差,,1,7,1,10,
9,1#主发电机组(1),,1,11,3001,401011,1#发电机燃油泄漏液位高,,1,7,1,11,
9,1#主发电机组(1),,1,12,3001,401012,1#发电机低温冷水进机压力,,1,7,1,12,
9,1#主发电机组(1),,1,13,3001,401013,1#发电机高温冷水进机压力,,1,7,1,13,
9,1#主发电机组(1),,1,14,3001,401014,1#发电机高温冷水出机温度,,1,7,1,14,
9,1#主发电机组(1),,1,15,3001,401015,1#发电机高温冷水出机温度高停车,,1,7,1,15,
9,1#主发电机组(1),,1,16,3001,401016,1#发电机1号缸排气温度 高,,1,7,1,16,
9,1#主发电机组(1),,1,17,3001,401017,1#发电机2号缸排气温度 高,,1,7,1,17,
9,1#主发电机组(1),,1,18,3001,401018,1#发电机3号缸排气温度 高,,1,7,1,18,
9,1#主发电机组(1),,1,19,3001,401019,1#发电机4号缸排气温度 高,,1,7,1,19,
9,1#主发电机组(1),,1,20,3001,401020,1#发电机5号缸排气温度 高,,1,7,1,20,
9,1#主发电机组(1),,1,21,3001,401021,1#发电机6号缸排气温度 高,,1,7,1,21,
9,1#主发电机组(1),,1,22,3001,401022,1#发电机7号缸排气温度 高,,1,7,1,22,
9,1#主发电机组(1),,1,23,3001,401023,1#发电机8号缸排气温度 高,,1,7,1,23,
9,1#主发电机组(1),,1,24,3001,401024,1#发电机9号缸排气温度 高,,1,7,1,24,
9,1#主发电机组(1),,1,25,3001,401025,1#发电机各缸排温均值偏高,,1,7,2,2,
9,1#主发电机组(1),,1,26,3001,401026,1#发电机增压器前排气温度高,,1,7,2,3,
9,1#主发电机组(1),,1,27,3001,401027,1#发电机增压器后排气温度高,,1,7,2,4,
9,1#主发电机组(1),,1,28,3001,401028,1#发电机起动空气压力低,,1,7,2,5,
9,1#主发电机组(1),,1,29,3001,401029,1#发电机盘车开关啮合/脱开,,1,7,2,6,
9,1#主发电机组(1),,1,30,3001,401030,1#发电机应急停车,,1,7,2,7,
9,1#主发电机组(2),,2,1,3001,401031,1#发电机超速,,1,7,2,8,
9,1#主发电机组(2),,2,2,3001,401032,1#发电机超速停车,,1,7,2,9,
9,1#主发电机组(2),,2,3,3001,401033,1#发电机增压器超速,,1,7,2,10,
9,1#主发电机组(2),,2,4,3001,401034,1#发电机公共紧急停机,,1,7,2,11,
9,1#主发电机组(2),,2,5,3001,401035,1#发电机遥控紧急停机,,1,7,2,12,
9,1#主发电机组(2),,2,6,3001,401037,1#发电机起动失败报警,,1,7,2,14,
9,1#主发电机组(2),,2,7,3001,401038,1#发电机停机失败报警,,1,7,2,15,
9,1#主发电机组(2),,2,8,3001,401039,1#发电机1号缸排温温差大,,1,7,1,25,
9,1#主发电机组(2),,2,9,3001,401040,1#发电机2号缸排温温差大,,1,7,1,26,
9,1#主发电机组(2),,2,10,3001,401041,1#发电机3号缸排温温差大,,1,7,1,27,
9,1#主发电机组(2),,2,11,3001,401042,1#发电机4号缸排温温差大,,1,7,1,28,
9,1#主发电机组(2),,2,12,3001,401043,1#发电机5号缸排温温差大,,1,7,1,29,
9,1#主发电机组(2),,2,13,3001,401044,1#发电机6号缸排温温差大,,1,7,1,30,
9,1#主发电机组(2),,2,14,3001,401045,1#发电机7号缸排温温差大,,1,7,1,31,
9,1#主发电机组(2),,2,15,3001,401046,1#发电机8号缸排温温差大,,1,7,1,32,
9,1#主发电机组(2),,2,16,3001,401047,1#发电机9号缸排温温差大,,1,7,2,1,
9,1#主发电机组(2),,2,17,3001,402001,MG1开关脱扣,,1,1,1,29,
9,1#主发电机组(2),,2,18,3001,402002,MG1保护继电器故障,,1,1,1,31,
9,1#主发电机组(2),,2,19,3001,402003,MG1 U相绕组温度,,1,2,1,1,
9,1#主发电机组(2),,2,20,3001,402004,MG1 V相绕组温度,,1,2,1,2,
9,1#主发电机组(2),,2,21,3001,402005,MG1 W相绕组温度,,1,2,1,3,
9,1#主发电机组(2),,2,22,3001,402006,MG1冷却水泄漏报警,,1,2,4,13,
9,1#主发电机组(2),,2,23,3001,402007,MG1 冷却空气(冷)温度,,1,2,2,1,
9,1#主发电机组(2),,2,24,3001,402008,MG1 冷却空气(热)温度,,1,2,2,2,
9,1#主发电机组(2),,2,25,3001,301001,1#发电机前轴承温度,,1,5,7,10,
9,1#主发电机组(2),,2,26,3001,301002,1#发电机后轴承温度,,1,5,7,11,
9,1#主发电机组(2),,2,27,3001,402009,1号电压调节器励磁电流,,1,1,5,1,
9,1#主发电机组(2),,2,28,3001,402010,1号电压调节器励磁电压,,1,1,5,2,
9,1#主发电机组(2),,2,29,3001,402011,1#发电机励磁开关脱扣故障,,1,2,5,31,
9,1#主发电机组（3）,,3,1,3001,1280,1#发电机燃油滤器压差高,,1,2,4,9,
9,1#主发电机组（3）,,3,2,3001,1293,1#发电机增压空气温度,,1,7,4,1,
9,1#主发电机组（3）,,3,3,3001,1294,1#发电机燃油进机温度,,1,7,4,2,
9,1#主发电机组（3）,,3,4,3001,1295,1#发电机低温水进空冷器温度,,1,7,4,3,
9,1#主发电机组（3）,,3,5,3001,1296,1#发电机高温水进机温度,,1,7,4,4,
9,1#主发电机组（3）,,3,6,3001,1298,1#发电机增压空气压力,,1,7,4,6,
9,1#主发电机组（3）,,3,7,3001,401033,1#发电机增压器超速,,1,7,2,10,
9,1#主发电机组（3）,,3,8,3001,1395,1#发电机油门刻度,,1,7,4,17,
9,2#主发电机组(1),,4,1,3001,403001,2#发电机滑油进滤器温度,,1,7,5,1,
9,2#主发电机组(1),,4,2,3001,403002,2#发电机滑油进机压力,,1,7,5,2,
9,2#主发电机组(1),,4,3,3001,403003,2#发电机滑油压力过低停车,,1,7,5,3,
9,2#主发电机组(1),,4,4,3001,403004,2#发电机滑油进增压器压力,,1,7,5,4,
9,2#主发电机组(1),,4,5,3001,403005,2#发电机滑油进滤器前后压力,,1,7,5,5,
9,2#主发电机组(1),,4,6,3001,403006,2#发电机预供滑油压力低,,1,7,5,6,
9,2#主发电机组(1),,4,7,3001,403007,2#发电机油底壳滑油液位高,,1,7,5,7,
9,2#主发电机组(1),,4,8,3001,403008,2#发电机油底壳滑油液位低,,1,7,5,8,
