"内部序号","分组一","分组二","分组三","分组四","分组五","类型","测量量程最小值","测量量程最大值","单位","断线上限","断线下限","设定上限","设定下限","阶码","报警方式","报警级别","报警延时","参数补偿编号","回差值","曲线编号","多点编号","网关IP","系统编号","分系统编号","站名称","站ID","IO模块类型","IO模块ID","点号","1/0有效","满量程上限","满量程下限","滤波标志","滤波次数","平均值处理标志","精度","斜率参数(A)","偏移参数(B)","刷新时间","A/D增益值","使用","开关状态","有报警","折线编号","1级报警","2级报警","3级报警","网关显示","参数类别","封装盒","选择","特殊ID标识","平均值与限值标志","OPC标志","安全标志","备份1","备份2","备份3","备份4","备份5","局域网","vdr","导航","备份6","备份7","备份8","备份9","备份10","测点名称","测点名称_en","简称","简称_tmp","测点号"
1,0,0,0,0,0,"4-20mA输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0801 简易网关模块",0,1,"-1",,,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号站CANA通讯状态",,"1号站CANA通讯状态",,"1"
2,0,0,0,0,0,"4-20mA输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0801 简易网关模块",0,2,"-1",,,0,64,0,"1",,,0,0.00000000e+00,1,"-1",0,,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号站CANB通讯状态",,"1号站CANB通讯状态",,"2"
3,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0801 简易网关模块",0,3,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"3",0,3,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号站1#网络通讯状态",,"1号站1#网络通讯状态",,"3"
4,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0801 简易网关模块",0,4,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"3",0,4,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号站2#网络通讯状态",,"1号站2#网络通讯状态",,"4"
5,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0801 简易网关模块",0,5,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,5,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号站网络通讯故障",,"1号站网络通讯故障",,"5"
6,0,0,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0801 简易网关模块",0,6,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,6,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号站CAN通讯故障",,"1号站CAN通讯故障",,"6"
7,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,1,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,7,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号中央空调海水冷却泵运行指示",,"1号中央空调海水冷却泵运",,"1409A"
8,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,2,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,8,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号中央空调海水冷却泵故障报警",,"1号中央空调海水冷却故障",,"1409"
9,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,3,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,9,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号中央空调海水冷却泵运行指示",,"2号中央空调海水冷却泵运",,"1410A"
10,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,4,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,10,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"2号中央空调海水冷却泵故障报警",,"2号中央空调海水冷却故障",,"1410"
11,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,5,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,11,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"1号伙食冷藏海水冷却泵运行指示",,"1号伙食冷藏海水冷却泵运",,"1411A"
12,1,1,0,0,0,"开关量输入",,,,,,1.00000000e+00,0.00000000e+00,,"0","0",0.00000000e+00,,"0",,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,6,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"0",1,12,0,0,0,0,0,0,0,,0,0,0,,,,0,,0,0,0,,,,,,"1号伙食冷藏海水冷却泵故障报警",,"1号伙食冷藏海水冷却故障",,"1411"
13,0,0,0,0,0,"开关量输入",,,,,,0.00000000e+00,0.00000000e+00,,"-1","-1",,,,,,,1,1,"1#分站",1,"HT-0202 开关量输入模块",1,7,"-1",,,0,64,0,,,,0,0.00000000e+00,1,"5",0,13,0,0,0,0,0,0,0,,0,0,0,,,,-1,,0,0,0,,,,,,"2号伙食冷藏海水冷却泵运行指示",,"2号伙食冷藏海水冷却泵运",,"1412A"
