"内部编号","页面名称","页面名称_en","页码","序号","页面编号","测点号","测点名称","属性","系统编号","站ID","IO模块ID","点号","图片索引"
7,"左主机1",,1,1,3001,"0101","左主机报警切断",,1,3,1,1,
7,"左主机1",,1,3,3001,"0103","左主机增压空气温度",,1,3,1,3,
7,"左主机1",,1,4,3001,"0104","左主机1号缸排气温度",,1,3,1,4,
7,"左主机1",,1,5,3001,"0105","左主机2号缸排气温度",,1,3,1,5,
7,"左主机1",,1,6,3001,"0106","左主机3号缸排气温度",,1,3,1,6,
7,"左主机1",,1,7,3001,"0107","左主机4号缸排气温度",,1,3,1,7,
7,"左主机1",,1,8,3001,"0108","左主机5号缸排气温度",,1,3,1,8,
7,"左主机1",,1,9,3001,"0109","左主机6号缸排气温度",,1,3,1,9,
7,"左主机1",,1,10,3001,"0110","左主机7号缸排气温度",,1,3,1,10,
7,"左主机1",,1,11,3001,"0111","左主机8号缸排气温度",,1,3,1,11,
7,"左主机1",,1,12,3001,"0112","左主机9号缸排气温度",,1,3,1,12,
7,"左主机1",,1,13,3001,"0113","左主机排气温度平均值",,1,3,1,13,
7,"左主机1",,1,14,3001,"0114","左主机1号缸排气温度偏差",,1,3,1,14,
7,"左主机1",,1,15,3001,"0115","左主机2号缸排气温度偏差",,1,3,1,15,
7,"左主机1",,1,16,3001,"0116","左主机3号缸排气温度偏差",,1,3,1,16,
7,"左主机1",,1,17,3001,"0117","左主机4号缸排气温度偏差",,1,3,1,17,
7,"左主机1",,1,18,3001,"0118","左主机5号缸排气温度偏差",,1,3,1,18,
7,"左主机1",,1,19,3001,"0119","左主机6号缸排气温度偏差",,1,3,1,19,
7,"左主机1",,1,20,3001,"0120","左主机7号缸排气温度偏差",,1,3,1,20,
7,"左主机1",,1,21,3001,"0121","左主机8号缸排气温度偏差",,1,3,1,21,
7,"左主机1",,1,22,3001,"0122","左主机9号缸排气温度偏差",,1,3,1,22,
7,"左主机1",,1,23,3001,"0123","左主机增压器进口排气温度",,1,3,1,23,
7,"左主机1",,1,24,3001,"0124","左主机增压器出口排气温度",,1,3,1,24,
7,"左主机1",,1,25,3001,"0125","左主机燃油滤器压差高",,1,3,1,25,
7,"左主机1",,1,26,3001,"0126","左主机燃油进机压力",,1,3,1,26,
7,"左主机1",,1,27,3001,"0127","左主机燃油进滤器压力",,1,3,1,27,
7,"左主机1",,1,28,3001,"0128","左主机燃油温度",,1,3,1,28,
7,"左主机1",,1,29,3001,"0129","左主机高压油管泄露",,1,3,1,29,
7,"左主机2",,2,1,3001,"0130","左主机高温水压力",,1,3,1,30,
7,"左主机2",,2,2,3001,"0131","左主机高温水压力过低停机",,1,3,1,31,
7,"左主机2",,2,3,3001,"0132","左主机高温水空冷器进口温度",,1,3,1,32,
7,"左主机2",,2,4,3001,"0133","左主机高温水柴油机进口温度",,1,3,2,1,
7,"左主机2",,2,5,3001,"0134","左主机高温水柴油机出口温度",,1,3,2,2,
7,"左主机2",,2,6,3001,"0135","左主机高温水柴油机出口高温停机",,1,3,2,3,
7,"左主机2",,2,7,3001,"0136","左主机低温水压力",,1,3,2,4,
7,"左主机2",,2,9,3001,"0138","左主机低温水空冷器出口温度",,1,3,2,6,
7,"左主机2",,2,10,3001,"0139","左主机滑油滤器压差高",,1,3,2,7,
7,"左主机2",,2,11,3001,"0140","左主机滑油液位低",,1,3,2,8,
7,"左主机2",,2,12,3001,"0141","左主机滑油进机压力",,1,3,2,9,
7,"左主机2",,2,13,3001,"0142","左主机滑油进滤器压力",,1,3,2,10,
7,"左主机2",,2,14,3001,"0143","左主机滑油进机压力低停车",,1,3,2,11,
7,"左主机2",,2,15,3001,"0144","左主机滑油进增压器压力",,1,3,2,12,
7,"左主机2",,2,16,3001,"0145","左主机滑油冷却器进口温度",,1,3,2,13,
7,"左主机2",,2,17,3001,"0146","左主机滑油柴油机进口温度",,1,3,2,14,
7,"左主机2",,2,18,3001,"0147","左主机监测系统故障",,1,3,2,15,
7,"左主机2",,2,19,3001,"0148","左主机超速停机",,1,3,2,16,
7,"左主机2",,2,20,3001,"0149","左主机转速",,1,3,2,17,
7,"左主机2",,2,21,3001,"0150","左主机安全控制空气压力",,1,3,2,18,
7,"左主机2",,2,22,3001,"0151","左主机安全停机命令故障",,1,3,2,19,
7,"左主机2",,2,23,3001,"0152","左主机安全系统故障",,1,3,2,20,
7,"左主机2",,2,24,3001,"0153","左主机停机执行",,1,3,2,21,
7,"左主机2",,2,25,3001,"0154","左主机停机撤销",,1,3,2,22,
7,"左主机2",,2,26,3001,"0155","左主机起动空气压力",,1,3,2,23,
